Frame: 30, Object ID: 3, Start: (581, 202), End: (507, 210)
Frame: 30, Object ID: 4, Start: (639, 198), End: (598, 203)
Frame: 30, Object ID: 5, Start: (618, 171), End: (561, 174)
Frame: 30, Object ID: 6, Start: (464, 151), End: (485, 151)
Frame: 31, Object ID: 1, Start: (508, 312), End: (581, 300)
Frame: 31, Object ID: 2, Start: (584, 294), End: (611, 294)
Frame: 31, Object ID: 3, Start: (577, 203), End: (506, 210)
Frame: 31, Object ID: 4, Start: (639, 198), End: (597, 203)
Frame: 31, Object ID: 5, Start: (618, 171), End: (559, 174)
Frame: 31, Object ID: 6, Start: (464, 151), End: (485, 151)
Frame: 32, Object ID: 1, Start: (506, 311), End: (581, 301)
Frame: 32, Object ID: 2, Start: (611, 294), End: (584, 294)
Frame: 32, Object ID: 3, Start: (569, 205), End: (505, 210)
Frame: 32, Object ID: 4, Start: (639, 198), End: (596, 204)
Frame: 32, Object ID: 5, Start: (617, 171), End: (559, 174)
Frame: 32, Object ID: 6, Start: (464, 151), End: (485, 151)
Frame: 32, Object ID: 7, Start: (608, 149), End: (632, 151)
Frame: 33, Object ID: 1, Start: (506, 311), End: (581, 301)
Frame: 33, Object ID: 2, Start: (609, 294), End: (585, 294)
Frame: 33, Object ID: 3, Start: (567, 205), End: (504, 210)
Frame: 33, Object ID: 4, Start: (638, 198), End: (595, 204)
Frame: 33, Object ID: 5, Start: (613, 171), End: (561, 174)
Frame: 33, Object ID: 6, Start: (464, 150), End: (485, 150)
Frame: 34, Object ID: 1, Start: (504, 312), End: (581, 301)
Frame: 34, Object ID: 2, Start: (585, 294), End: (609, 294)
Frame: 34, Object ID: 3, Start: (568, 205), End: (496, 210)
Frame: 34, Object ID: 4, Start: (639, 198), End: (594, 204)
Frame: 34, Object ID: 5, Start: (612, 171), End: (560, 174)
Frame: 34, Object ID: 6, Start: (464, 150), End: (485, 150)
Frame: 35, Object ID: 1, Start: (581, 301), End: (502, 312)
Frame: 35, Object ID: 2, Start: (588, 294), End: (609, 294)
Frame: 35, Object ID: 3, Start: (559, 205), End: (498, 210)
Frame: 35, Object ID: 4, Start: (639, 198), End: (593, 204)
Frame: 35, Object ID: 5, Start: (611, 171), End: (560, 174)
Frame: 35, Object ID: 6, Start: (464, 150), End: (485, 150)
Frame: 36, Object ID: 1, Start: (579, 301), End: (501, 312)
Frame: 36, Object ID: 2, Start: (640, 249), End: (618, 254)
Frame: 36, Object ID: 3, Start: (559, 206), End: (497, 210)
Frame: 36, Object ID: 4, Start: (638, 198), End: (592, 204)
Frame: 36, Object ID: 5, Start: (464, 150), End: (485, 150)
Frame: 37, Object ID: 1, Start: (496, 313), End: (577, 301)
Frame: 37, Object ID: 2, Start: (559, 205), End: (496, 210)
Frame: 37, Object ID: 3, Start: (591, 204), End: (639, 198)
Frame: 37, Object ID: 4, Start: (611, 171), End: (558, 174)
Frame: 37, Object ID: 5, Start: (464, 150), End: (485, 150)
Frame: 38, Object ID: 1, Start: (496, 312), End: (578, 301)
Frame: 38, Object ID: 2, Start: (640, 250), End: (615, 254)
Frame: 38, Object ID: 3, Start: (559, 206), End: (496, 210)
Frame: 38, Object ID: 4, Start: (639, 198), End: (591, 204)
Frame: 38, Object ID: 5, Start: (611, 171), End: (554, 174)
Frame: 38, Object ID: 6, Start: (464, 150), End: (486, 150)
Frame: 39, Object ID: 1, Start: (576, 302), End: (496, 312)
Frame: 39, Object ID: 2, Start: (640, 250), End: (614, 255)
Frame: 39, Object ID: 3, Start: (558, 205), End: (495, 211)
Frame: 39, Object ID: 4, Start: (639, 198), End: (590, 203)
Frame: 39, Object ID: 5, Start: (611, 171), End: (554, 175)
Frame: 39, Object ID: 6, Start: (464, 151), End: (486, 151)
Frame: 40, Object ID: 1, Start: (576, 302), End: (492, 312)
Frame: 40, Object ID: 2, Start: (612, 254), End: (639, 248)
